User,Adaptive,Fixed
p13,379.0,475.5
p29,349.76,455.69
p21,334.3,399.5
n1,399.5,373.34
p30,358.37,401.01
p3,364.81,404.68
p26,343.77,390.96
p2,390.96,678.59
p27,347.04,357.89
p20,449.96,451.91
p24,492.51,423.8
p4,421.72,384.75
p5,345.64,421.35
p6,358.75,403.29
n6,344.78,438.96
n4,776.19,448.73
p17,336.97,349.26
p23,340.57,402.36
p11,342.73,381.96
p28,328.23,327.63
p15,348.84,392.99
p10,496.94,363.12
p8,385.26,353.08
n5,465.47,486.78
p33,395.47,511.32
p12,359.31,468.44
p22,433.47,527.5
p31,398.2,528.47
p18,408.91,410.67
p32,463.24,444.65
p19,440.67,595.99
p9,424.75,424.75
p14,341.47,365.66
p34,491.13,536.22
p1,366.7,408.33
p25,439.01,486.59
p7,363.53,484.08
p16,480.19,476.54
n2,476.54,437.64
